"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://investing.com","3","14156","13111.333333333","2849.0227954316","9219","15959","15850","14143","3005.8164725523","9918","16661","778","968","316.51856185696","712","1414","8300","8000.3333333333","2743.8659264298","4500","11201","1976122","1974704.3333333","2137.0331978912","1971684","1976307","140","139.66666666667","2.8674417556809","136","143","14124","13080.333333333","2846.0794476301","9192","15925","12537","11318","3295.3898100225","6813","14604","17000","14566.666666667","3655.4373503347","9400","17300","16100","13866.666666667","3158.4102892999","9400","16100","211026_J6_32"
"","http://bestbuy.com","3","678","697","82.34480351951","607","806","815","758.66666666667","105.38922567743","611","850","284","278","16.872067646458","255","295","700","666.66666666667","124.72191289246","500","800","735","735.33333333333","0.47140452079103","735","736","4","4","0","4","4","646","649.33333333333","92.294215540424","538","764","700","666.66666666667","124.72191289246","500","800","700","666.66666666667","124.72191289246","500","800","700","666.66666666667","124.72191289246","500","800","211026_JW_33"
"","http://researchgate.net","3","5359","6039","1404.3399398531","4763","7995","6770","7548.6666666667","1375.6640416743","6394","9482","192","192","17.96292478041","170","214","2700","2700","81.649658092773","2600","2800","1024163","1024598","646.54517759138","1024119","1025512","49","49.333333333333","0.47140452079103","49","50","5318","6006.3333333333","1404.4534721932","4737","7964","5958","6451","1071.1759892753","5457","7938","6800","7566.6666666667","1452.2013940528","6300","9600","6800","7566.6666666667","1452.2013940528","6300","9600","211026_67_34"
"","http://uol.com.br","3","16317","15295.333333333","3393.1806448948","10724","18845","26961","24759","4242.2079156967","18825","28491","1168","1230.3333333333","222.8158183094","994","1529","1400","1466.6666666667","249.44382578493","1200","1800","2018499","2062293.3333333","134162.27172181","1924313","2244068","151","150.66666666667","1.2472191289246","149","152","16279","15255","3395.5265669211","10680","18806","12743","10847","3146.9859654385","6412","13386","21800","20100","4373.4044709661","14100","24400","21800","19233.333333333","5570.358057512","11500","24400","211026_0V_35"
"","http://homedepot.com","3","551","595.66666666667","79.984720763128","528","708","628","661.33333333333","71.751113038212","595","761","353","371.66666666667","49.161864172231","323","439","600","633.33333333333","47.140452079103","600","700","908","908","0","908","908","3","3","0","3","3","506","546.66666666667","69.877670889125","489","645","600","633.33333333333","47.140452079103","600","700","600","633.33333333333","47.140452079103","600","700","600","633.33333333333","47.140452079103","600","700","211026_JM_36"
"","http://google.com.mx","3","1649","1721.3333333333","152.14978000495","1582","1933","1674","1734","122.69474316367","1623","1905","650","661","75.113247832856","575","758","1000","1033.3333333333","124.72191289246","900","1200","152652","152772.66666667","182.07934778247","152636","153030","19","19.333333333333","0.47140452079103","19","20","1610","1687.6666666667","153.45864444715","1551","1902","1002","1036","124.81185841097","903","1203","1200","1300","141.42135623731","1200","1500","1200","1300","141.42135623731","1200","1500","211026_64_37"
"","http://onlinesbi.com","3","7147","7133.3333333333","73.712655328346","7037","7216","7594","7592.6666666667","93.085384937104","7478","7706","847","871.66666666667","35.593382655894","846","922","2200","2233.3333333333","47.140452079103","2200","2300","2702055","2702055","0","2702055","2702055","46","46","0","46","46","7105","7091","71.721684308164","6997","7171","2286","2316.6666666667","46.949145063805","2281","2383","9800","9833.3333333333","47.140452079103","9800","9900","8000","8000","0","8000","8000","211026_98_38"
"","http://usps.com","3","12856","12768.666666667","245.49451227177","12434","13016","13339","13268.333333333","193.53954519828","13004","13462","793","860.33333333333","109.67021270863","773","1015","3200","3166.6666666667","124.72191289246","3000","3300","1641899","1631973.6666667","14711.969669475","1611175","1642847","152","152.33333333333","1.2472191289246","151","154","12797","12715","246.95343690664","12380","12968","3557","3521","128.2913351192","3349","3657","13100","13000","216.02468994693","12700","13200","13100","13000","216.02468994693","12700","13200","211026_N0_39"
"","http://skype.com","3","7772","7772.3333333333","203.7160332969","7523","8022","7898","7897.6666666667","231.47690069542","7614","8181","1049","973.66666666667","203.85833861342","695","1177","2600","2633.3333333333","124.72191289246","2500","2800","3778543","3778663","170.4132232741","3778542","3778904","54","54","0","54","54","7746","7742.6666666667","204.1377530547","7491","7991","4324","4305.6666666667","200.05388163081","4052","4541","7800","7833.3333333333","205.48046676563","7600","8100","7800","7833.3333333333","205.48046676563","7600","8100","211026_PF_3A"
"","http://airbnb.com","3","6517","6539.3333333333","77.159286904141","6458","6643","9368","9312.6666666667","83.973540806349","9194","9376","640","634.33333333333","16.418147141366","612","651","1300","1333.3333333333","47.140452079103","1300","1400","2053765","2043966.6666667","16842.44448476","2020266","2057869","134","132.66666666667","1.8856180831641","130","134","6436","6478.6666666667","79.43690717936","6410","6590","2226","2254.6666666667","83.335999957335","2170","2368","6400","6433.3333333333","47.140452079103","6400","6500","5400","5466.6666666667","169.96731711976","5300","5700","211026_XR_3B"
"","http://trendyol.com","3","14359","12840","2487.2041867661","9333","14828","20332","19836","1870.2962332208","17338","21838","240","241.66666666667","16.779617264871","222","263","4000","4400","2303.6203390895","1800","7400","2024121","2024698.6666667","1793.2198848874","2022849","2027126","127","126","2.1602468994693","123","128","14234","12717.333333333","2489.0706878048","9208","14710","6604","6570","2105.8819213495","3974","9132","22500","20700","2760.4347483685","16800","22800","22500","20633.333333333","2710.8834148463","16800","22600","211026_4A_3C"
"","http://telewebion.com","3","4672","4636.3333333333","64.344558606165","4546","4691","7237","7187.6666666667","95.590562063185","7054","7272","758","763","25.961509971494","734","797","3800","3800","81.649658092773","3700","3900","969438","969270.66666667","2796.5555401044","965765","972609","34","33.666666666667","0.47140452079103","33","34","4645","4611.3333333333","60.785597709399","4526","4663","5389","5368.6666666667","61.710795021797","5285","5432","6500","6666.6666666667","464.27960923947","6200","7300","6100","6066.6666666667","47.140452079103","6000","6100","211026_HZ_3D"
"","http://mozilla.org","3","5838","5462","582.67028984381","4639","5909","5881","5496.6666666667","586.46757985606","4668","5941","1061","1054.3333333333","61.418419242294","976","1126","2100","2200","294.39202887759","1900","2600","813700","813544","222.74200322346","813229","813703","60","59.666666666667","0.47140452079103","59","60","5807","5433.3333333333","581.55557678427","4612","5881","3202","3480.6666666667","479.95647950853","3084","4156","4500","4800","648.07406984079","4200","5700","4500","4800","648.07406984079","4200","5700","211026_Z6_3E"
"","http://archive.org","3","4952","5007.6666666667","78.724554972102","4952","5119","6086","6152","97.611474735299","6080","6290","393","406","18.38477631085","393","432","2400","2433.3333333333","124.72191289246","2300","2600","563103","563103","0","563103","563103","83","83","0","83","83","4914","4971.3333333333","83.211911540489","4911","5089","3737","3758.3333333333","144.49298329754","3593","3945","5900","6766.6666666667","1297.0050972229","5800","8600","5000","5066.6666666667","94.280904158206","5000","5200","211026_NF_3F"
"","http://cowin.gov.in","3","12584","13244.333333333","943.76915727429","12570","14579","13002","13425","941.60819877484","12543","14730","1015","1263","402.7108143569","943","1831","4100","4633.3333333333","899.38250421547","3900","5900","5537027","5536800.6666667","655.48065485481","5535909","5537466","58","58","0.81649658092773","57","59","12547","13209.333333333","949.43714320059","12529","14552","10398","11052","943.34016487515","10372","12386","13700","14266.666666667","873.05339024725","13600","15500","13700","14266.666666667","873.05339024725","13600","15500","211026_4V_3G"
"","http://cnet.com","3","26808","24620","3530.0145419908","19640","27412","27942","27103","3372.064748291","22618","30749","662","1393.3333333333","1119.461874692","543","2975","1100","1866.6666666667","1155.662388224","1000","3500","3533270","3466472.3333333","260541.54946231","3119264","3746883","305","283","51.400389103586","212","332","26758","24570.666666667","3527.6063020442","19594","27360","3790","3670","658.68555978302","2810","4410","26900","24733.333333333","3496.9828265076","19800","27500","26900","24733.333333333","3496.9828265076","19800","27500","211026_GQ_3H"
"","http://google.ca","3","1559","1595.6666666667","77.924464850406","1524","1704","1590","1631","80.899114127824","1559","1744","509","533.33333333333","71.10711794344","461","630","900","933.33333333333","47.140452079103","900","1000","152586","152593","15.121728296285","152579","152614","19","19","0","19","19","1531","1566","80.253764190016","1490","1677","902","935.33333333333","47.140452079103","902","1002","1100","1133.3333333333","47.140452079103","1100","1200","1100","1133.3333333333","47.140452079103","1100","1200","211026_23_3J"
"","http://hdfcbank.com","3","19082","20196","2133.2183823197","18325","23181","19659","20827.666666667","2221.862932066","18886","23938","248","273","36.778616975991","246","325","2800","2800","81.649658092773","2700","2900","4425974","4367995.3333333","96093.117416852","4232565","4445447","453","453.33333333333","2.0548046676563","451","456","18993","20104","2122.9509336456","18244","23075","9070","8826","1387.3831482327","7018","10390","21000","22200","1986.6219234335","20600","25000","19500","20566.666666667","1651.9348924485","19300","22900","211026_K8_3K"
